"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Allen, Logan",671106,2025,26,"7","35.1",162,136,40,30,7,0,3,25,19,15.4,11.7,".294",".412",".375","0.787",".251",".452",".350",".352",".345",".201","72.2",30.9,14.9,12.7,32.8,28,"7.4",4,"89","16.7",27.6,11.2,35.3,"78.025694211","94.205234123",16.5,41.7
"Quantrill, Cal",615698,2025,30,"7","31.2",158,143,46,28,12,0,6,23,13,14.6,8.2,".322",".531",".380","0.911",".312",".536",".396",".390",".374",".224","72.4",30.6,19.8,16.2,40.1,32.8,"7.4",6,"91.9","15.1",41.3,11.6,44.6,"82.360555593","95.299311864",19.9,45.1
"Sale, Chris",519242,2025,36,"9","47.2",212,192,54,38,8,3,5,64,13,30.2,6.1,".281",".432",".341","0.773",".230",".375",".342",".295",".295",".145","70.7",21.4,9.6,6.9,28.3,20.3,"7.4",15,"88.1","14.4",37.7,9.2,31.5,"77.099973385","93.626084186",32.7,50
"Littell, Zack",641793,2025,29,"8","47.0",188,176,43,25,8,0,10,30,9,16,4.8,".244",".460",".278","0.738",".274",".524",".317",".352",".309",".250","72",27.6,17.2,13.9,36.9,30,"7.4",2,"90.5","15.2",32.4,12.8,45.9,"80.117845405","94.939830816",18,53.8
"Greene, Hunter",668881,2025,25,"8","45.2",176,166,29,16,5,1,7,61,8,34.7,4.5,".175",".343",".222","0.565",".185",".365",".249",".258",".231",".180","70.6",14.6,12.2,8.4,29.5,20.3,"7.2",11,"90.3","22.3",32.4,10.5,42.9,"80.204948113","94.630251714",33.7,56.8
"Canning, Griffin",656288,2025,29,"8","42.0",174,158,37,29,3,1,4,42,16,24.1,9.2,".234",".342",".305","0.647",".241",".386",".292",".307",".311",".145","72.4",27.5,13,9.5,33.2,24.3,"7.4",8,"91.9","8",29.3,6,48.3,"82.347725789","95.330747018",26.6,46.9
"Cabrera, Edward",665795,2025,27,"6","29.1",131,116,32,20,7,0,5,26,13,19.8,9.9,".276",".466",".351","0.817",".270",".450",".359",".346",".346",".181","71.5",23.2,14.6,12.1,35,28.9,"7.4",6,"89.9","13.5",35.2,7.7,44,"79.05368","94.674719333",21,41
"Gusto, Ryan",687473,2025,26,"9","27.2",135,123,34,24,5,1,4,31,11,23,8.1,".276",".431",".341","0.772",".266",".462",".342",".344",".331",".196","71.4",22.3,16.7,12.2,36.2,26.5,"7.2",0,"92.4","18.7",34.8,9.8,46.7,"83.280470652","95.512866522",26,50.8
"Wesneski, Hayden",669713,2025,27,"6","32.0",131,121,29,14,8,0,7,29,6,22.1,4.6,".240",".479",".279","0.758",".259",".481",".327",".335",".300",".222","72.1",27.1,12.5,9.8,34.5,27.1,"7.3",8,"89.7","16.3",35.8,10.5,42.1,"79.32545587","94.265432935",23.2,47.4
"Woods Richardson, Simeon",680573,2025,24,"7","33.2",145,130,36,23,7,0,6,31,12,21.4,8.3,".277",".469",".345","0.814",".263",".543",".357",".371",".333",".280","71.4",22.4,15.7,12.2,31.8,24.8,"7.2",6,"90.2","22.2",41,17,46,"79.3624506","94.739400202",23.4,47.9
"Jobe, Jackson",695549,2025,22,"6","27.2",148,124,29,19,4,0,6,27,20,18.2,13.5,".234",".411",".340","0.751",".239",".438",".335",".341",".344",".199","71.7",24.1,15,11.6,37.2,28.9,"7.4",5,"89.1","12.5",35,9,43,"77.8020046","94.460010303",23.1,45.3
"Corbin, Patrick",571578,2025,35,"6","31.2",134,120,32,22,6,0,4,20,12,14.9,9,".267",".417",".333","0.750",".274",".449",".333",".343",".340",".175","71.8",25.5,11.6,9.3,34.3,27.3,"7.5",3,"88.3","13.5",38.2,5.9,31.4,"78.8044312","92.9689142",20.9,46.4
"Quintana, Jose",500779,2025,36,"6","34.0",138,126,31,23,3,0,5,24,11,17.4,8,".246",".389",".307","0.696",".271",".448",".310",".337",".329",".177","71.2",20.1,16.7,13.9,41.4,34.5,"7.4",2,"90.2","12.8",33,8.7,42.7,"80.875992941","94.33782901",17.5,42.6
"Megill, Tylor",656731,2025,29,"8","40.2",176,155,34,27,3,1,3,52,17,29.5,9.7,".219",".310",".307","0.617",".230",".351",".283",".300",".316",".122","71.7",23.4,14.1,10.4,35.9,26.4,"7.3",7,"89.9","14.7",29.8,5.8,45.2,"79.158530769","94.90208534",28.7,43.8
"López, Pablo",641154,2025,29,"7","39.0",155,145,31,22,6,0,3,43,7,27.7,4.5,".214",".317",".252","0.569",".227",".385",".253",".285",".269",".158","71.8",24.4,12.7,9.4,28.9,21.4,"7.2",8,"88.5","14.4",36.5,6.7,36.5,"76.836212885","94.185568544",26.6,47.4
